season,location,file_last_modified
8,rio-de-janeiro,2026-01-12T14:34:21+00:00
8,rome,2026-01-12T17:26:44+00:00
8,sao-paulo,2026-01-12T17:37:11+00:00
8,seoul,2026-01-12T15:43:24+00:00
8,shanghai,2026-01-12T15:08:04+00:00
8,shenzhen,2026-01-12T12:36:42+00:00
8,singapore-expo,2026-01-12T14:39:44+00:00
8,stockholm,2026-01-12T12:32:43+00:00
8,stuttgart,2026-01-12T15:55:06+00:00
8,sydney,2026-01-12T18:13:39+00:00
8,toronto,2026-01-12T17:01:51+00:00
8,utrecht,2026-01-12T14:16:10+00:00
8,valencia,2026-01-12T16:34:41+00:00
8,vancouver,2026-01-12T12:42:18+00:00
8,verona,2026-01-12T14:03:00+00:00
8,yokohama,2026-01-12T17:54:17+00:00
