age_group,division,event_id,event_name,gender,name,nationality,roxzone_time,run1_time,run2_time,run3_time,run4_time,run5_time,run6_time,run7_time,run8_time,run_time,total_time,skiErg_time,sledPush_time,sledPull_time,burpeeBroadJump_time,rowErg_time,farmersCarry_time,sandbagLunges_time,wallBalls_time,work_time
50-54,open,JGDMS4JI8B2,2024 Amsterdam,female,"Obrien, Tracey",GBR,5.383333333333334,4.016666666666667,5.366666666666666,5.483333333333333,5.433333333333334,5.533333333333333,5.5,5.5,6.033333333333333,42.8,80.03333333333333,5.066666666666666,1.9166666666666667,4.683333333333334,4.85,5.25,1.7333333333333334,4.016666666666667,4.416666666666667,31.933333333333334
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Wever, Maud",NED,5.833333333333333,3.283333333333333,4.933333333333334,5.116666666666666,5.316666666666666,5.466666666666667,5.383333333333334,5.266666666666667,5.816666666666666,40.53333333333333,80.43333333333334,5.583333333333333,2.1166666666666667,5.1,4.2,5.533333333333333,2.15,3.4833333333333334,5.966666666666667,34.13333333333333
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Holleman, Annique",NED,5.583333333333333,3.466666666666667,5.35,5.416666666666667,5.366666666666666,5.7,5.683333333333334,5.6,5.9,42.45,80.75,4.516666666666667,2.35,4.35,5.516666666666667,4.783333333333333,1.7666666666666666,4.65,4.85,32.78333333333333
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Zacharogianni, Eleni",GRE,5.683333333333334,3.3666666666666667,5.416666666666667,5.0,5.05,5.133333333333334,5.183333333333334,5.183333333333334,5.683333333333334,39.96666666666667,81.08333333333333,4.95,2.4166666666666665,5.55,5.566666666666666,5.266666666666667,2.2,4.283333333333333,5.283333333333333,35.516666666666666
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Mühl, Anna",GER,6.05,3.8333333333333335,5.183333333333334,5.833333333333333,5.716666666666667,5.816666666666666,5.633333333333334,5.5,5.733333333333333,43.18333333333333,81.35,4.833333333333333,1.8166666666666667,4.6,5.766666666666667,4.7,1.5166666666666666,3.433333333333333,5.516666666666667,32.18333333333333
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Lansink, Merel",NED,5.5,4.15,5.516666666666667,5.55,5.616666666666666,5.716666666666667,5.766666666666667,5.633333333333334,6.516666666666667,44.43333333333333,81.78333333333333,5.15,1.75,4.216666666666667,4.6,5.15,2.1,3.9833333333333334,4.966666666666667,31.916666666666668
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Marshall, Rachel",GBR,4.95,3.9166666666666665,5.466666666666667,5.7,5.833333333333333,5.883333333333334,5.75,5.916666666666667,6.116666666666666,44.516666666666666,81.86666666666666,4.3,1.8833333333333333,4.716666666666667,5.783333333333333,4.966666666666667,1.95,4.666666666666667,4.2,32.46666666666667
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Huydts, Amelie",GER,4.8,3.566666666666667,5.316666666666666,5.55,5.6,5.75,5.683333333333334,5.716666666666667,6.166666666666667,43.3,81.95,5.0,2.1166666666666667,5.2,4.6,5.266666666666667,2.1333333333333333,4.483333333333333,5.116666666666666,33.916666666666664
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Jennekens, Silvie",NED,6.266666666666667,4.016666666666667,5.15,5.416666666666667,5.316666666666666,5.3,5.333333333333333,5.2,6.1,41.78333333333333,82.08333333333333,5.1,2.1,4.733333333333333,5.483333333333333,5.3,2.0,4.383333333333334,5.0,34.1
16-24,open,JGDMS4JI8B2,2024 Amsterdam,female,"Van Hal, Flynn",NED,6.0,3.7666666666666666,5.383333333333334,5.45,5.483333333333333,5.666666666666667,5.65,5.633333333333334,6.0,42.96666666666667,82.25,4.9,2.45,5.116666666666666,5.05,5.016666666666667,2.0,3.316666666666667,5.483333333333333,33.333333333333336
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Geeraedts, Marion",GER,5.883333333333334,3.75,5.266666666666667,5.55,5.5,5.783333333333333,5.65,5.5,6.183333333333334,43.13333333333333,82.35,4.883333333333334,2.1,5.016666666666667,4.666666666666667,5.0,1.8833333333333333,3.6666666666666665,6.2,33.416666666666664
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Tse, Lilian",GBR,5.616666666666666,3.183333333333333,6.65,4.9,5.05,5.433333333333334,5.233333333333333,5.066666666666666,5.933333333333334,41.38333333333333,82.43333333333334,4.666666666666667,2.6333333333333333,5.0,6.016666666666667,5.133333333333334,2.2333333333333334,4.533333333333333,5.266666666666667,35.483333333333334
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Wieman, Bianca",NED,5.616666666666666,4.083333333333333,5.716666666666667,5.85,5.966666666666667,5.916666666666667,5.883333333333334,5.883333333333334,6.433333333333334,45.68333333333333,82.66666666666667,5.25,1.6166666666666667,3.716666666666667,4.733333333333333,4.866666666666666,1.6166666666666667,4.083333333333333,5.55,31.433333333333334
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Van Burg, Vonne",NED,5.45,3.2666666666666666,4.583333333333333,5.0,5.083333333333333,5.083333333333333,5.116666666666666,5.033333333333333,5.85,38.95,82.78333333333333,4.916666666666667,2.0,4.016666666666667,4.366666666666666,4.966666666666667,1.9166666666666667,12.083333333333334,4.183333333333334,38.45
50-54,open,JGDMS4JI8B2,2024 Amsterdam,female,"Koops, Annette",NED,5.383333333333334,3.55,5.283333333333333,5.666666666666667,5.633333333333334,5.933333333333334,5.783333333333333,5.966666666666667,6.3,44.03333333333333,83.11666666666666,5.25,2.55,5.016666666666667,4.9,5.3,2.1166666666666667,4.333333333333333,4.3,33.766666666666666
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Greif, Gabriella",USA,5.1,6.133333333333334,5.633333333333334,5.8,5.716666666666667,6.066666666666666,6.0,5.733333333333333,5.933333333333334,46.95,83.48333333333333,4.9,1.9,4.116666666666666,4.966666666666667,5.133333333333334,1.9666666666666666,4.366666666666666,4.166666666666667,31.516666666666666
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Verbeek, Monique",NED,5.5,4.2,5.8,5.716666666666667,5.783333333333333,5.95,5.783333333333333,5.833333333333333,6.3,45.31666666666667,83.7,5.066666666666666,1.9666666666666666,4.516666666666667,4.483333333333333,5.183333333333334,1.8,4.366666666666666,5.566666666666666,32.95
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Hofman, Tamara",NED,5.8,3.9833333333333334,5.466666666666667,5.816666666666666,5.833333333333333,6.0,5.883333333333334,5.883333333333334,6.266666666666667,45.06666666666667,83.8,4.933333333333334,1.8333333333333333,4.266666666666667,5.35,5.1,1.8833333333333333,4.533333333333333,5.1,33.0
